backgroundrank,bokehfactor,cameramodel,cameramodelndex,coherency,colorcontrastf,colorsimilarity,dominantcol1percent,dominantcol1value,dominantcol1l,dominantcol1a,dominantcol1b,dominantcol2percent,dominantcol2value,dominantcol2l,dominantcol2a,dominantcol2b,dominantcol3percent,dominantco3value,dominantcol3l,dominantcol3a,dominantcol3b,dominantcol4percent,dominantcol4value,dominantcol4l,dominantcol4a,dominantcol4b,dominantcol5percent,dominantcol5value,dominantcol5l,dominantcol5a,dominantcol5b,dominantcol6percent,dominantcol6value,dominantcol6l,dominantcol6a,dominantcol6b,dominantcol7percent,dominantcol7value,dominantcol7l,dominantcol7a,dominantcol7b,dominantcol8percent,dominantcol8value,dominantcol8l,dominantcol8a,dominantcol8b,strongcol1percent,strongcol1value,strongcol1l,strongcol1a,strongcol1b,strongcol2percent,strongcol2value,strongcol2l,strongcol2a,strongcol2b,contrastf,datetaken,directionsimilarity,dynrange,dynrangefactor,exposuref,facesrank,finalrank,focusf,fullframcolorsim,gridcolorsimilarity,height,horizonleft,intballancef,lifeid,objectsh,objectsw,objectsx,objectsy,objectsfactor,origheight,origwidth,partnerphotoid,photoindex,position,saturationf,sky,splitlevel,status,subclusterindex,texturescalesimilarity,url,userid,version,width,datenew,phash,closedeyesf,confidence,enginecode,faceexposuref,facefocusf,gender,genderconf,ffaceheight,kissf,leyeclosed,leyex,leyey,mouthp1x,mouthp1y,mouthp2x,mouthp2y,mouthp3x,mouthp3y,necscore,nosep1x,nosep1y,pitch,profilef,reyeclosed,reyex,reyey,facerank,recindex,recindexnew,roll,significance,smile,facewidth,facex,facey,yaw,faceid,isbaby,datesent,rnum,uploaddate
4.43,0,Canon_EOS_650D_0,1,0.74,\N,50,25,999997,63.17,-0.38,1.04,23,706E6C,46.55,0.37,1.38,21,D1ECF9,91.86,-6.2,-9.26,9,4A4C49,32.05,-1.47,1.49,5,242320,13.72,-0.24,2.18,5,887265,49.75,6.47,10.41,2,5E4240,30.99,11.83,6.03,2,A89488,62.75,5.43,9.06,0,826019,43.04,6.83,43.11,0,6B4F19,35.57,5.89,34.95,0.33,1437766342,50,-0.99,1,1.67,4.28,1.01,1,50,50,720,54,0.25,70138577976,14.49;7.91;4.39;3.07,14.65;18.46;8.2;6.74,72.36;56.84;37.79;31.05,57.1;76.43;76.87;74.23,0.68,3456,5184,72863325090,72863325090,1,0.18,1,0,Success,1.43777E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325090/medium/1491810463/enhance,21011995998,15,1080,1437766342,ECC0057E2B6F6F3F,0.0;0.0,53;26,111;1,2.06;3.64,0.0;0.0,;false,62.35;0.0,4.13;4.13,0;0,0;0,12.59;66.85,73.19;21.28,12.59;67.33,74.92;23.03,12.02;67.33,74.92;23.03,11.44;67.33,74.92;23.03,0.0;0.0,12.13;67.74,74.58;21.82,0;-20,0.0;-1.0,0;0,11.44;66.85,73.19;21.28,5.65;4.64,0;0,0;0,0.0;0.0,1;0,4.444;0.0,2.76;2.76,10.64;65.21,71.99;20.32,0.0;-90.0,af006a99-0d7a-466d-8bb8-eba63a819232;9fed7e13-0a6c-40c3-b91b-1b4c91796136,false;false,03:10.9,1,4/10/2017
5.22,0,Canon_EOS_650D_0,1,0.76,\N,50,40,AAA796,68.3,-1.95,9.17,14,686353,41.99,-0.99,9.81,13,424136,27.31,-1.83,6.88,10,E3E3D8,89.96,-1.92,5.36,9,202019,12.03,-1.61,4.77,3,5B6A68,43.55,-6.09,-0.79,3,87908D,58.99,-3.86,0.46,1,674323,31.85,11.99,25.44,0,A83513,39.44,45.69,44.65,0,B95B39,49.61,35.36,36.7,0.37,1452171394,50,-0.99,1,2,7.95,2.69,1,50,50,720,\N,0.69,70138577976,7.91;13.62,4.69;11.72,32.81;66.5,18.45;74.67,0,3456,5184,72863324014,72863324014,1,0.16,0,1,Success,1.45217E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324014/medium/1491810045/enhance,21011995998,15,1080,1452171394,F9971CA743ACA978,-1.38,100,1111,3.72,0,,23.53,8.67,0,0,53.79,42.87,53.73,47.1,52.74,47.1,51.75,47.1,94.2,52.36,45.79,0,0,55,50.89,43.39,7.85,0,0,-7.352,1,100,5.78,49.61,40.91,0,2a0e0d0b-1ef8-49b6-a89a-fa06baf62619,TRUE,55:58.2,1,4/10/2017
-2.9,0,Canon_EOS_650D_0,1,0.86,\N,13,54,F5F2ED,95.59,0.14,2.75,9,DEBEBA,79.56,10.75,6.23,8,F8EAB8,92.69,-2.82,26.04,6,85888F,56.66,0.33,-4.13,6,AAACB4,70.42,0.85,-4.35,5,D88D8F,66.24,28.77,10.77,4,5B748E,47.84,-2.34,-17.11,2,AB8684,59.32,13.82,6.49,0,0,0,0,0,0,0,0,0,0,0,1438047213,83.97,-0.54,0,-0.26,7.71,5.19,-3.72,88.21,79.22,720,50,1,70138577976,,,,,0,3456,5184,72863329367,72863329367,2,0.18,1,1,Success,1.43805E+12,82.91,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329367/medium/1491811168/enhance,21011995998,15,1080,1438047213,4442CA5175C446A5,0.0;0.0,53;100,101;1111,2.67;3.84,-1.85;0.0,;,45.0;40.0,4.86;23.93,0;0,0;0,37.18;56.44,61.39;43.23,37.27;57.37,63.99;56.23,36.68;55.31,63.99;56.23,36.09;53.26,63.99;56.23,0.0;97.4,36.62;53.13,63.37;50.27,0;0,0.0;-0.1,0;0,35.98;49.26,61.78;47.02,3.68;7.24,0;0,0;0,-12.99;-19.09,0;1,0.0;0.0,3.24;15.95,35.04;45.0,60.36;38.24,0.0;45.0,8ecf5fa6-7b05-4782-afc0-46481c620622;678844ab-073e-418c-a44f-778c8b145cda,false;false,14:47.3,1,4/10/2017
0.89,0,Canon_EOS_650D_0,1,0.88,\N,50,16,692908,25.58,26.92,33.13,15,844820,37.2,22.19,34.19,15,DCA15E,70.53,14.62,43.07,12,0D0D0F,3.68,0.35,-0.94,12,B37540,54.74,19.16,38.67,10,B15E61,49.76,33.87,13.53,6,7B3338,31.5,31.84,12.56,5,A03520,38.06,43.22,36.55,16,692908,25.58,26.92,33.13,5,A03520,38.06,43.22,36.55,0,1420233914,50,-0.99,1,1.83,5.97,5.82,-3.72,50,50,720,\N,1,70138577976,,,,,0,3456,5184,72863332165,72863332165,1,0.78,0,0,Success,1.42023E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332165/medium/1491812087/enhance,21011995998,15,1080,1420233914,976A7E3D49E39EDF,-2.66,100,1111,3.96,0,,35.29,62.11,0,100,50.79,44.9,52.81,68.4,47.77,68.4,42.72,68.4,64.5,44.69,66.52,0,0,62,30.92,52.08,5.54,0,0,-13.6,1,36.67,41.41,21.91,28.32,0,2ff84f23-8f10-4cd9-9063-6c8fa1ca32cf,TRUE,31:24.3,1,4/10/2017
4.27,0,Canon_EOS_650D_0,1,0.8,\N,7,33,7D88A1,56.63,1.64,-14.61,24,5E6C82,45.24,0.13,-13.9,10,131718,7.38,-1.51,-1.33,10,31383D,23.06,-1.66,-4.11,8,595F68,40.09,-0.28,-5.92,4,3E393F,24.67,3.51,-2.93,3,3A4557,29.02,0.45,-12.17,2,122237,12.91,1.1,-15.7,0,0,0,0,0,0,0,0,0,0,0.3,1420216779,80.49,-0.99,1,1.64,0,1.21,0.03,98.03,94.41,1080,\N,0.99,70138577976,28.71;2.64;4.1,15.81;14.49;14.06,50.07;32.06;32.5,43.07;32.52;35.74,0.84,5184,3456,72863332155,72863332155,2,0.31,0,1,Success,1.42022E+12,93.1,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332155/medium/1491812083/enhance,21011995998,15,720,1420216779,911FDC067B99FF7F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29:58.0,1,4/10/2017
4.27,0,Canon_EOS_650D_0,1,0.78,0.16,50,25,737675,49.36,-1.34,0.15,17,E3E9EA,91.93,-1.81,-1.19,9,232521,14.35,-1.88,2.35,9,95272D,34.05,45.77,23.83,8,474A49,31.16,-1.45,0.16,6,9EA5A3,67.14,-2.87,0.16,5,77594D,40.58,10.54,11.73,4,4E3428,24.41,10.01,12.29,0,2680BD,51.3,-4.52,-39.28,9,95272D,34.05,45.77,23.83,0.42,1452190797,50,-0.97,1,0.39,8.13,3.33,1,50,50,720,\N,1,70138577976,52.71;21.52;7.91;7.47,40.72;9.38;7.32;7.62,33.98;19.92;8.2;63.28,47.44;37.34;47.88;37.77,1.5,3456,5184,72863324848,72863324848,1,0.3,0,1,Success,1.45219E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324848/medium/1491810360/enhance,21011995998,15,1080,1452190797,7C063C3053060F68,0,100,1111,3.69,0,,49,11.16,0,0,49.37,40.94,48.57,47.52,47.32,47.52,46.07,47.52,98.3,47.13,44.33,0,0,0,45.6,41.33,7.92,0,0,-4.185,1,36.67,7.44,43.58,38.12,0,7aaaf3f0-47f7-41e4-a217-a7094a6bc231,FALSE,01:20.2,1,4/10/2017
4.71,0,Canon_EOS_650D_0,1,0.69,0.1,25,23,E9BF5E,79.27,4.13,53.64,15,C59044,63.54,12.26,47.21,11,986827,47.91,13.07,42.69,11,683D13,30.22,15.17,32.37,10,A65A2A,46.43,27.32,40.3,6,2D2823,16.49,1.25,4.13,4,3B2612,17.27,7.36,17.04,4,0C0B04,2.95,-0.69,2.76,4,70410F,32.39,16.4,36.61,3,994D24,41.54,28.67,37.65,0.42,1452182294,79.95,-0.99,1,1.62,8.05,2.43,-0.18,47.33,66.01,720,\N,0.98,70138577976,16.25;16.25;14.93;13.18,13.18;8.79;5.57;4.98,47.46;46.58;44.24;38.96,64.13;34.7;53.15;69.4,0.55,3456,5184,72863324372,72863324372,3,0.77,0,0,Success,1.45218E+12,85.86,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324372/medium/1491810199/enhance,21011995998,15,1080,1452182294,110FA8FF91C6490F,0,100,1111,3.79,0,,61.18,7.42,0,0,55.41,32.06,54.53,36.25,53.69,36.25,52.85,36.25,87.1,53.59,34.47,0,0,0,52.59,31.76,8.07,0,0,3.691,1,38.89,4.95,51.37,30.06,0,c17b5258-8d00-4161-a03f-22fba2248650,FALSE,00:44.8,1,4/10/2017
2.98,0,Canon_EOS_650D_0,1,0.86,\N,17,35,868F45,57.21,-14.62,37.87,30,F0F4FA,96.05,-0.23,-3.35,7,9A8B53,58,-2.4,31.9,7,696B3A,43.98,-8.77,27.11,4,3F4934,29.59,-8.5,11.27,4,D4A77F,71.67,11.24,26.99,3,676F4E,45.36,-9.19,17.41,3,686D62,45.31,-4.14,5.48,0,0,0,0,0,0,0,0,0,0,0.23,1437860977,5.46,-0.84,1,1.32,0,1.21,-0.93,56.99,73.78,720,18,0.86,70138577976,19.77;13.62,44.53;62.4,55.66;0.0,16.25;34.26,0,3456,5184,72863325625,72863325625,1,0.49,1,0,Success,1.43786E+12,24.98,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325625/medium/1491810640/enhance,21011995998,15,1080,1437860977,71C36018C1801E51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30.5,1,4/10/2017
2.63,0,Canon_EOS_650D_0,1,0.8,\N,23,39,DFC5AA,81.03,5.03,16.91,18,B99C82,66.29,6.8,17.62,14,98785E,52.86,8.72,19.03,8,664731,33.03,10.36,18.46,8,1D1A17,9.5,0.77,2.62,3,F1EBE3,93.3,0.65,4.58,3,4D4844,30.95,1.27,3.14,2,CFC1B8,78.96,3.39,6.29,0,0,0,0,0,0,0,0,0,0,0.31,1437868680,74.31,-0.97,1,1.57,0,1.28,-1.31,60.03,66.66,720,12,0.74,70138577976,7.91;47.44,11.72;36.91,37.79;0.0,72.04;49.19,0,3456,5184,72863328495,72863328495,2,0.32,1,0,Success,1.43787E+12,76.45,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328495/medium/1491810920/enhance,21011995998,15,1080,1437868680,694C4CD2133BB38D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15.4,1,4/10/2017
-1.65,0,Canon_PowerShot_SX210_IS_0,1,0.88,\N,15,45,E4E7E5,91.37,-1.36,0.61,30,1C1E1F,11.09,-0.67,-1.01,4,A7ADAD,70.26,-2.11,-0.74,3,6E7578,48.75,-1.99,-2.56,3,484544,29.54,1.05,1.05,3,434C4C,31.54,-3.61,-1.23,2,80685F,46.06,8.09,8.67,2,4D5F49,38.28,-11.63,10.37,0,0,0,0,0,0,0,0,0,0,0,1367980587,64.18,-0.93,1,0.06,6.46,3.54,-3.72,89.91,81.32,1278,19,1,70138577976,,,,,0,4320,2432,72863323640,72863323640,1,0,1,0,Success,1.36798E+12,72.54,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323640/medium/1491809891/enhance,21011995998,15,720,1367980587,786A988499953191,-3,100,1111,3.65,0,,68.24,10.4,0,100,46.22,24.23,45.27,29.57,41.5,29.57,37.73,29.57,98.7,40.61,27.25,0,0,100,37.02,24.73,6.15,0,0,-6.054,1,100,18.46,32.72,21.54,0,effaa0bf-a634-44ad-9756-34a174c25b94,TRUE,54:14.4,1,4/10/2017
5.18,0,Canon_PowerShot_SX210_IS_0,1,0.85,\N,50,34,32322F,20.69,-0.68,1.9,21,5D5F5C,40.06,-1.41,1.43,14,868B89,57.4,-2.23,0.42,10,E9EFF0,94.03,-1.8,-1.19,5,534036,28.83,6.59,9.27,4,819AB0,62.43,-3.63,-14.34,4,647889,49.43,-3.19,-11.68,3,7.27E+67,51.2,-9.32,12.15,0,0,0,0,0,0,0,0,0,0,0.39,1368062866,50,-0.92,1,1.77,0,1.36,1,50,50,720,\N,0.86,70138577976,,,,,0,2432,4320,72863323927,72863323927,1,0.15,0,1,Success,1.36806E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323927/medium/1491810006/enhance,21011995998,15,1278,1368062866,59CD3232209ECD11,0,73,1,0.79,-3,FALSE,0,15.03,0,0,83.63,29.98,82.14,36.34,82.14,36.34,82.14,36.34,0,80.9,31.94,-20,-1,0,83.63,29.98,-1.21,0,0,0,1,0,8.47,80.18,26.5,90,097270be-a9dd-41ad-b9ba-18a70cf616ec,FALSE,55:22.9,1,4/10/2017
3.28,0,Canon_EOS_650D_0,1,0.89,\N,9,31,FAFDFD,99.09,-0.98,-0.36,25,8E8A51,56.61,-7.23,31,8,99A04A,63.68,-14.99,43.35,6,D6E1E8,88.91,-2.34,-4.69,6,2C2D33,18.59,1.07,-4,4,828876,55.75,-5.65,8.92,4,525D44,37.91,-9.34,12.98,4,CCA87F,71.13,7.49,26.13,0,0,0,0,0,0,0,0,0,0,0.23,1437860993,43.07,-0.8,1,-0.34,8.79,2.1,1,94.53,91.23,720,33,0.98,70138577976,44.36;17.13;10.98,38.96;48.93;15.23,9.08;10.55;74.71,55.78;34.7;43.48,1.5,3456,5184,72863325718,72863325718,2,0.41,1,1,Success,1.43786E+12,25.54,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325718/medium/1491810661/enhance,21011995998,15,1080,1437860993,6.33087E+15,0.0;-2.0,100;100,1111;1111,3.79;3.75,0.0;0.0,;,13.0;56.0,5.89;6.14,0;0,0;0,31.88;39.95,49.24;54.79,31.69;39.66,52.19;57.91,30.87;38.94,52.19;57.91,30.05;38.22,52.19;57.91,99.2;89.7,30.81;38.81,50.99;56.78,0;0,0.0;0.0,0;100,29.84;37.87,49.3;54.82,9.29;7.25,0;0,0;0,0.0;-2.603,1;1,100.0;100.0,3.93;4.1,28.86;36.85,47.59;53.07,0.0;0.0,ae63075e-c790-4704-85a0-115f308b87f8;ce3080fb-b400-4e99-8dbe-7367e346d9ab,true;false,07:30.5,1,4/10/2017
4.18,0,Canon_PowerShot_SX210_IS_0,1,0.85,0.11,50,45,B3CA99,78.53,-16.45,21.95,11,EBEAE2,92.57,-1.06,3.99,9,706858,44.3,0.26,10.16,7,7D8F67,57.06,-13.95,19.2,5,37302B,20.44,2.13,4.35,4,DDE9CA,90.74,-9.38,13.72,3,4F5D74,39.16,0.56,-14.78,2,4E5457,35.3,-1.7,-2.57,0,0,0,0,0,0,0,0,0,0,0.18,1368003235,50,-0.95,1,1.55,8.44,3.49,0.07,50,50,1278,\N,0.98,70138577976,32.23;21.39,37.95;21.32,24.96;37.44,65.33;24.32,1.5,4320,2432,72863323891,72863323891,1,0.28,0,1,Success,1.368E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323891/medium/1491809989/enhance,21011995998,15,720,1368003235,5168A7B6185AE3A5,0,100,1111,3.91,0,,36.47,6.89,0,0,50.64,30.87,49.57,34.37,47.76,34.37,45.94,34.37,81.1,47.82,33.08,0,0,0,44.75,30.49,8.25,0,0,6.789,1,42.22,12.23,41.98,28.86,0,ea182ba9-56a1-4b19-a767-e29e98968dab,FALSE,55:06.7,1,4/10/2017
4.12,0,Canon_EOS_650D_0,1,0.71,0.16,50,16,A37E73,56.03,12.66,11.48,15,DCB5A4,76.64,11.54,13.94,12,322D30,19.09,2.93,-1.11,11,E5E2DB,89.94,-0.2,3.76,5,141414,6.32,0,0,5,F6E9CC,92.68,-0.23,15.68,5,615558,37.38,5.49,0.06,4,ABABAD,70.04,0.38,-1.03,1,DF3A4D,50.98,63.73,28.42,2,802522,29.48,38.83,24.3,0.38,1437763134,50,-0.96,1,1.06,3.6,0.5,1,50,50,720,20,0.15,70138577976,39.97;23.72;27.67;25.48,14.36;16.99;14.36;3.52,59.47;21.39;9.08;8.79,39.97;63.69;29.43;56.66,1.5,3456,5184,72863324976,72863324976,1,0.36,1,0,Success,1.43776E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324976/medium/1491810414/enhance,21011995998,15,1080,1437763134,6A9157A09586C34A,0.0;-2.0;0.0;0.0,44;105;105;100,1;1111;11;1111,3.79;2.84;-1.82;3.19,0.0;0.0;0.0;0.0,false;;false;,0.0;38.82;0.0;6.0,5.95;6.31;6.64;4.13,0;0;0;0,0;0;0;0,35.94;44.85;51.43;61.14,39.95;22.8;24.82;24.02,35.86;44.66;51.34;61.37,42.67;26.22;27.86;26.11,35.86;43.98;51.34;60.81,42.67;26.22;27.86;26.11,35.86;43.3;51.34;60.25,42.67;26.22;27.86;26.11,0.0;82.8;0.0;78.7,34.92;43.71;50.29;60.49,41.34;24.48;26.37;25.23,0;0;0;0,-1.0;-0.1;-1.0;0.0,0;100;0;0,35.94;42.76;51.43;59.99,39.95;23.02;24.82;24.02,4.79;4.24;-0.82;7.27,0;0;0;0,0;0;0;0,0.0;-2.603;0.0;0.0,1;1;1;0,0.0;0.0;0.0;28.89,3.96;4.21;4.43;2.76,34.67;41.78;50.01;59.19,38.29;21.29;22.96;22.82,90.0;45.0;90.0;0.0,bebc92f7-a447-4298-8274-5e880a0763bb;c075fdfe-a2dc-47bc-b67a-dc403b57e33d;7a22444d-a383-4ded-8989-19c07c8fd397;a252022b-b0bb-4d11-ab2b-f526c6b08ccc,false;false;false;false,02:18.9,1,4/10/2017
4.87,0,Canon_EOS_650D_0,1,0.76,0.5,12,35,8B9644,59.63,-16.26,41.3,17,6.46E+41,44.46,-12.79,28.16,9,879DAF,63.64,-3.65,-11.92,7,48502B,32.46,-10.03,20.71,6,64712B,45.21,-15.85,36.34,5,95A19F,65.27,-4.64,-0.43,4,BABFC1,77.01,-1.35,-1.62,3,969D74,63.23,-9.64,20.66,0,9F8430,56.17,0.85,47.38,6,64712B,45.21,-15.85,36.34,0.2,1437865889,88.83,-0.99,1,2,7.8,2.59,-0.33,87.57,82.22,720,12,0.98,70138577976,90.48,100.2,0,9.66,0,3456,5184,72863327898,72863327898,3,0.52,1,1,Success,1.43787E+12,87.38,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327898/medium/1491810757/enhance,21011995998,15,1080,1437865889,F813325A4B5B7C69,-1.38,100,1111,3.59,0,,6,8.47,0,0,64.68,31.37,64.19,35.12,63.3,35.12,62.4,35.12,80.6,63.2,33.89,0,0,55,62,31.37,7.71,0,0,0,1,100,5.65,60.52,29.15,0,262a3976-a51a-47c9-9385-fabe400c3abc,TRUE,11:14.8,1,4/10/2017
4.17,0,Canon_EOS_650D_0,1,0.81,0.18,23,23,5C515C,35.85,6.79,-4.75,16,29231F,14.24,1.99,3.72,11,77707C,48.22,5.14,-5.65,9,867755,50.59,0.46,20.84,8,754F33,37.14,12.6,22.87,7,A47039,51.58,14.95,38.21,5,CE9F66,68.66,10.55,36.3,4,9C784F,53.02,8.74,27.84,1,CB8434,61.17,20.54,52.31,1,87512D,39.96,19.09,30.31,0.39,1418159464,85.06,-0.99,1,1.63,0,1.23,-0.45,66.38,65.85,720,12,0.96,70138577976,73.79,62.7,20.21,26.35,1.5,3456,5184,72863330173,72863330173,2,0.47,1,1,Success,1.41816E+12,84.07,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330173/medium/1491811415/enhance,21011995998,15,1080,1418159464,35D9DA7242A4A89A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:55.4,1,4/10/2017
5.23,0,Canon_EOS_650D_0,1,0.72,\N,50,47,131612,6.83,-2.21,2,13,4E2A21,21.53,15.64,13.11,11,3E3D3B,25.8,-0.01,1.38,4,EDEDE8,93.62,-0.87,2.41,3,817766,50.48,0.85,10.75,3,DBCAAC,81.99,1.19,17.14,3,A49985,63.65,0.63,11.97,3,230D0A,6.03,10.52,5.11,1,A32A13,36.91,48.3,42.22,1,B83619,42.61,50.89,45.86,0.92,1452182083,50,-0.99,1,0.98,8.26,2.46,1,50,50,720,\N,0.99,70138577976,38.21;18.45;18.89;7.47,26.95;6.74;6.45;7.62,12.01;40.72;26.95;44.24,21.52;64.57;61.05;37.77,1.5,3456,5184,72863324226,72863324226,1,0.34,0,0,Success,1.45218E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324226/medium/1491810137/enhance,21011995998,15,1080,1452182083,C71A73697B9E9E7F,0,100,1111,2.79,0,,3,7.31,0,0,21.93,20.82,21.76,24.49,20.9,24.49,20.05,24.49,90.6,20.86,22.8,0,0,0,19.55,21.12,8.29,0,0,-4.399,1,100,4.87,18.43,18.75,0,620509f3-c150-4445-ac87-fc0df80e8265,FALSE,00:44.3,1,4/10/2017
5.22,0,Canon_EOS_650D_0,1,0.82,0.47,17,21,AF5644,47.22,34.73,27.27,17,BBE2F8,87.84,-7.9,-14.88,14,312F25,19.31,-1.2,6.76,13,585C22,37.56,-10.47,32.05,11,62433B,31.64,12.25,10.22,10,D2A078,69.61,13.45,28,5,93765D,51.78,7.63,18.06,3,F1D595,86.24,0.96,35.22,3,AC3725,40.63,46.77,37.17,1,74752A,47.76,-10.87,39.97,0.34,1438045544,84.99,-0.99,1,1.84,0,1.43,1,77.77,74,720,21,0.03,70138577976,68.52,66.8,0,31.63,0,3456,5184,72863329347,72863329347,2,0.54,1,1,Success,1.43805E+12,95.86,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329347/medium/1491811163/enhance,21011995998,15,1080,1438045544,7CC013EE80490C24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36.2,1,4/10/2017
3.49,0,Canon_PowerShot_SX210_IS_0,1,0.73,\N,50,25,24261A,14.6,-3.57,7.68,22,7B7B68,51.12,-3.53,10.41,17,464938,30.29,-4.69,9.79,9,E2DFCE,88.64,-1.89,8.68,7,FAFAF5,98.15,-0.86,2.38,6,789351,57.52,-21.15,31.77,4,9DB76F,71,-21.07,33.7,3,4D6336,39.19,-17.05,22.88,0,0,0,0,0,0,0,0,0,0,0.43,1394586764,50,-0.98,1,0.73,6.41,1.58,1,50,50,720,\N,0.04,70138577976,,,,,0,2432,4320,72863329741,72863329741,1,0.29,0,0,Success,1.39459E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329741/medium/1491811284/enhance,21011995998,15,1278,1394586764,42C91D5360646CD9,0.0;0.0,100;65,1101;1000,2.81;3.04,-0.74;0.0,;false,35.0;0.0,6.66;7.22,0;0,0;0,47.94;57.2,28.61;32.5,47.81;57.9,31.12;35.69,46.99;57.0,31.12;36.32,46.17;56.1,31.12;36.94,87.2;65.1,47.18;0.0,29.72;0.0,0;0,0.0;0.0,0;0,46.37;55.4,28.61;33.75,6.86;5.04,0;0,0;0,0.0;-21.37,1;1,64.44;0.0,3.75;4.07,45.28;54.46,26.66;30.56,0.0;0.0,ef1515c0-efbe-464d-b08f-05954b6c03b8;aba4821a-0fd8-4b2f-9f4e-2403e2d207f6,true;false,17:15.0,1,4/10/2017
3.6,1,Canon_EOS_650D_0,1,0.78,0.07,16,28,DBDEDD,88.22,-1.19,0.12,20,767B7B,51.21,-1.87,-0.66,17,414244,27.95,0.04,-1.36,15,A6A8A6,68.65,-1.09,0.77,3,749AC0,62.19,-3.27,-23.78,2,B4AB91,70.09,-1.13,14.56,2,EAD5B8,86.28,2.76,16.98,2,AFCAE2,80.09,-3.88,-14.91,0,F5CF5A,84.37,0.58,61.45,1,D4AE52,72.81,3.42,51.38,0.33,1418390749,74.65,-0.95,1,1.42,0,1.23,-1.35,99.2,94.24,720,\N,0.96,70138577976,85.21;21.96;10.98,43.95;16.41;3.52,26.95;70.02;18.46,14.93;15.37;56.22,1.5,3456,5184,72863330765,72863330765,2,0.17,0,1,Success,1.41839E+12,84.65,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330765/medium/1491811606/enhance,21011995998,15,1080,1418390749,EE4E91157137C1EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22:00.9,1,4/10/2017
5.9,0,Canon_EOS_650D_0,1,0.81,0.25,14,19,25261D,14.78,-2.48,5.83,18,BCD9F8,85.55,-2.94,-18.32,16,91B6E5,72.98,-1.04,-27.51,13,696245,41.48,-2.15,17.54,7,4.03E+28,25.79,-3.54,15.09,6,575547,35.94,-1.92,8.47,6,7E754B,49.09,-3.13,24.43,5,988A70,58.06,0.98,15.85,0,0,0,0,0,0,0,0,0,0,0.33,1422014811,98.76,-0.98,1,1.98,0,1.42,1,84.31,78.76,720,40,0.96,70138577976,19.33;8.35,8.5;2.64,29.88;25.78,66.33;69.4,0.14,3456,5184,72863332553,72863332553,3,0.38,1,0,Success,1.42201E+12,98.35,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332553/medium/1491812251/enhance,21011995998,15,1080,1422014811,E39E114F58A534AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33:30.4,1,4/10/2017
